,year,weekNumber,month,distance,total_elevation_gain,elapsed_time,pr_count,average_speed,average_watts,average_temp,count
188,2018,37,8.0,56381.5,1557.6999999999998,19767.0,6.0,3.248333333333333,110.69999999999999,0.0,6.0
189,2019,37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
190,2015,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
191,2016,38,8.0,54550.6,0.0,6000.0,0.0,8.632,0.0,0.0,3.0
192,2017,38,8.75,123125.59999999999,2245.0,25789.0,13.0,4.9395,181.87499999999997,19.666666666666668,8.0
193,2018,38,8.0,165892.0,2386.2,24183.0,17.0,7.557599999999999,197.14000000000001,15.25,5.0
194,2019,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
195,2015,39,9.0,48119.299999999996,0.0,7200.0,0.0,6.733666666666667,0.0,0.0,3.0
196,2016,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
197,2017,39,9.0,85976.7,1428.6000000000001,26285.0,20.0,4.267428571428571,122.17142857142858,16.0,7.0
198,2018,39,9.0,26454.7,330.0,3725.0,0.0,7.394,178.7,19.0,1.0
199,2019,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200,2015,40,9.0,13518.5,0.0,1800.0,0.0,7.51,0.0,0.0,1.0
201,2016,40,9.0,17525.8,0.0,1986.0,0.0,8.825,0.0,0.0,1.0
202,2017,40,9.0,334327.39999999997,2113.3999999999996,58705.0,75.0,6.1068,150.4,13.666666666666666,5.0
203,2018,40,9.0,9232.0,217.0,2187.0,0.0,4.67,136.5,18.0,1.0
204,2019,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
205,2015,41,9.0,42647.7,0.0,7189.0,0.0,6.025666666666666,0.0,0.0,3.0
206,2016,41,9.0,19422.1,96.6,6773.0,0.0,1.44725,175.1,0.0,4.0
207,2017,41,9.0,83055.00000000001,262.0,13992.0,9.0,6.7525,153.53333333333333,16.333333333333332,4.0
208,2018,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
209,2019,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
210,2015,42,9.0,26554.300000000003,0.0,3300.0,0.0,7.666499999999999,0.0,0.0,2.0
211,2016,42,9.0,61080.8,335.5,8068.0,20.0,7.993666666666667,158.26666666666665,0.0,3.0
212,2017,42,9.0,190524.39999999997,2094.7,29209.0,16.0,6.710999999999999,172.74,9.75,6.0
213,2018,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
214,2019,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
215,2015,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216,2016,43,10.0,112224.7,1260.3,15807.0,7.0,7.197399999999999,165.98,0.0,5.0
217,2017,43,10.0,120628.80000000002,541.1999999999999,20580.0,7.0,5.673714285714285,82.94,8.25,7.0
218,2018,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
219,2019,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
220,2015,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
221,2016,44,10.0,179690.69999999998,1810.4,24562.0,10.0,7.9756,176.8,0.0,5.0
222,2017,44,10.0,96502.9,1250.8,13846.0,2.0,7.366,195.0,0.0,2.0
223,2018,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
224,2019,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
225,2015,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
226,2016,45,10.0,47234.6,334.3,6947.0,4.0,7.459666666666666,146.96666666666667,0.0,3.0
227,2017,45,10.0,123556.5,1667.4,19211.0,10.0,6.179666666666667,207.36666666666665,5.0,3.0
228,2018,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
229,2019,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
230,2015,46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
231,2016,46,10.0,31585.7,194.6,4264.0,5.0,7.691333333333333,142.0,0.0,3.0
232,2017,46,10.0,72156.29999999999,254.1,11604.0,2.0,6.19125,118.53333333333335,6.0,4.0
233,2018,46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
234,2019,46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
235,2015,47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
236,2016,47,10.6,89093.4,0.0,9900.0,0.0,8.953999999999999,0.0,0.0,5.0
237,2017,47,11.0,83177.0,787.5,19596.0,20.0,5.3371666666666675,123.03333333333335,1.0,6.0
238,2018,47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
239,2019,47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
240,2015,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
241,2016,48,11.0,163810.3,0.0,17400.0,0.0,9.375666666666667,0.0,0.0,6.0
242,2017,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
243,2018,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
244,2019,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
245,2015,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
246,2016,49,11.0,30416.7,0.0,3600.0,0.0,8.449,0.0,0.0,1.0
247,2017,49,11.0,32477.5,178.0,4067.0,0.0,8.277,203.9,6.0,1.0
248,2018,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
249,2019,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
250,2015,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
251,2016,50,11.0,49514.4,244.5,6337.0,7.0,7.922333333333332,150.9,0.0,3.0
252,2017,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
253,2018,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
254,2019,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
255,2015,51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
256,2016,51,11.0,64686.4,316.0,8218.0,25.0,8.054,145.2,0.0,1.0
257,2017,51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
258,2018,51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
259,2019,51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
